"id","address"
11452155,"г.Санкт-Петербург, Владимирский проспект, дом 10, литера А"
4325108,"Санкт-Петербург, Большевиков проспект, 30 к5"
4394714,"Санкт-Петербург, Ломоносова (Красное Село г.), 9"
4389143,"Санкт-Петербург, Лёни Голикова, 53 к2"
4513903,"Санкт-Петербург, Средняя Садовая (СНТ Пенсионеров Ленинского района тер.), 1"
4433754,"Санкт-Петербург, поселок Лисий Нос, Новая улица, дом 9"
4409173,"Санкт-Петербург, Невельская, 8а"
4455782,"Санкт-Петербург, садоводство Айсберг, 10-я аллея"
4363168,"Санкт-Петербург, Железноводская, 20"
4419622,"Санкт-Петербург, Отрадная (СНТ Красные зори тер.), 2"
